,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
0,orginal-original,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.925,0.9099206349206348,0.925,0.9134917043740574,0.9031476997578692,"[ 8  0  0  0  0  0  0  7  1  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  1  0  0  0  0  7]",2.436521053314209,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
1,orginal-original,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 40, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,0.85,0.8743006993006993,0.85,0.8462672064777328,0.8073836276083467,"[ 8  0  0  0  0  0  0  0  5  1  0  0  0  2  0  0 11  0  1  0  0  0  0  0
  2  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
  8]",3.389958620071411,"DecisionTreeClassifier(criterion='entropy', max_depth=40)"
2,orginal-pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.95,0.9297008547008547,0.95,0.9379019607843138,0.9356395816572808,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  1  0  0  0  0  7]",0.22979021072387695,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
3,orginal-pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 40, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.89937106918239,0.825,0.8111111111111111,0.825,0.8144117647058824,0.7745571658615137,"[ 6  0  0  0  0  2  0  8  0  0  0  0  0  1 11  0  0  0  0  0  1  2  0  0
  0  0  0  0  0  1  2  0  0  0  0  6]",0.6804001331329346,"DecisionTreeClassifier(criterion='entropy', max_depth=40, min_samples_leaf=2,
                       min_samples_split=10)"
4,orginal-lda,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.11695146560668945,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
5,orginal-lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.188154935836792,"DecisionTreeClassifier(criterion='entropy', max_depth=30, min_samples_split=10)"
6,orginal-split pca,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.6666666666666666,0.625,0.6489010989010989,0.625,0.6327002801120448,0.5230524642289349,"[6 1 0 0 1 0 0 0 5 2 1 0 0 0 0 0 8 0 0 1 3 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 2 0 2 0 0 0 4]",0.11127662658691406,"KNeighborsClassifier(metric='euclidean', n_neighbors=7)"
7,orginal-split pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7735849056603774,0.55,0.6736904761904762,0.55,0.5898268398268398,0.4533029612756265,"[6 1 0 0 1 0 0 0 5 1 2 0 0 0 0 0 7 0 0 4 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 1 1 1 0 0 3 2]",0.1759507656097412,"DecisionTreeClassifier(criterion='entropy', max_depth=30, min_samples_leaf=4)"
8,orginal-split lda,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.875,0.8535714285714284,0.875,0.861923076923077,0.8385794995964487,"[ 8  0  0  0  0  0  0  7  0  1  0  0  0  0 12  0  0  0  0  1  0  2  0  0
  0  0  0  0  0  1  0  0  2  0  0  6]",0.10943460464477539,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
9,orginal-split lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9245283018867925,0.875,0.9199999999999999,0.875,0.889345238095238,0.8427672955974843,"[ 7  0  0  0  1  0  0  0  6  0  2  0  0  0  0  0 11  0  0  0  1  0  0  0
  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
  7]",0.18211960792541504,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=4,
                       min_samples_split=10)"
